Country of birth,Population_2024,Percent_2024
England,963560,3.5
India,916330,3.4
China (excl. SARs and Taiwan),700120,2.6
New Zealand,617960,2.3
Philippines,394380,1.5
Vietnam,318760,1.2
South Africa,224160,0.8
Nepal,197800,0.7
Malaysia,183490,0.7
Sri Lanka,172800,0.6
Total overseas-born,8576680,31.5
Australian-born,18617690,68.5
Total population,27194370,100
